axis,size,iterations,parse_p50_us,parse_p95_us,parse_p99_us,parse_max_us,validate_p50_us,validate_p95_us,validate_p99_us,validate_max_us,encode_p50_us,encode_p95_us,encode_p99_us,encode_max_us,lookup_p50_ns,lookup_p95_ns,lookup_p99_ns,lookup_max_ns,total_p50_us,total_p95_us,total_p99_us,total_max_us
packages,1,100,1,1,4,13,0,0,0,6,0,0,0,5,0,100,100,100,2,2,5,24
packages,10,100,8,9,10,14,5,5,6,12,2,2,2,3,100,100,100,100,17,18,23,23
packages,100,100,96,110,147,190,49,57,87,96,43,49,91,92,100,200,200,300,189,212,294,379
packages,1000,30,904,967,1016,1027,495,502,525,531,617,732,738,925,100,300,400,500,2018,2226,2252,2329
packages,10000,10,9371,9615,9615,9811,5134,6131,6131,6181,8156,8430,8430,8501,500,800,800,900,22882,23354,23354,23551
rules,0,100,0,0,1,4,0,0,0,0,0,0,0,1,0,100,100,100,1,1,2,6
rules,1,100,1,1,1,1,0,0,0,1,0,0,0,0,0,100,100,100,2,2,2,4
rules,4,100,2,2,2,2,1,1,1,1,0,0,0,0,0,100,100,100,4,4,4,5
rules,16,100,5,5,6,6,6,6,6,10,1,1,2,5,0,100,100,100,13,13,17,17
rules,32,100,8,9,9,11,12,12,13,15,2,2,2,3,0,100,100,100,24,24,27,27
rules,64,100,16,20,25,27,25,28,37,42,4,5,6,6,0,100,100,100,46,53,66,74
redirect_rules,1,100,1,1,1,1,1,1,1,2,0,0,0,0,0,100,100,100,3,3,3,5
redirect_rules,4,100,2,2,2,2,4,4,4,6,0,1,1,1,0,100,100,100,7,7,8,9
redirect_rules,16,100,7,8,8,8,16,16,17,18,2,2,2,3,0,100,100,100,26,27,28,29
redirect_rules,32,100,14,14,18,45,32,32,35,35,4,4,5,5,0,100,100,100,50,53,59,83
redirect_rules,64,100,29,38,46,51,64,105,122,125,10,12,12,12,100,100,100,100,105,158,184,186
